Body type,Make,Model,Build Year,Generation,Power (in KW),Cylinder capacity,Odometer (km),Fuel,Gearbox,Seats,Upholstery,Doors,Car data from VIN,Minimum bid,Reserve Price,Buy it NOW,PRICE,SEK,Auction ends in,Time,Date,Auction end time,Auto1.com link,AUTO24 Price,Potential,Equipment from auto24,Displacement on auto24.ee listing,Body type on auto24.ee,Age of auto24.ee listing,Auto24.ee link,Auto24 search,page
coupe,Citroen,Xsara 1.6,2004,2000 - 2005,80,"1,587",254325,petrol,manual,5,Cloth,3,Aire acondicionado,286,0,403,403,,22:54:8,18:31,12/10/2023,17:25 13/10/2023,https://www.auto1.com/en/app/merchant/car/GY86050,0,-403,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=20&bw=138&f1=2000&f2=2005&i[]=1&h[]=1&m[0]=3&d1=5&d2=5,1
suv,Skoda,Yeti 2.0 TDI,2016,2016 - None,110,"1,968",93377,diesel,manual,5,Cloth,5,"Bi-Xenon-Scheinwerfer,
Sitzheizung vorn,
Einparkhilfe hinten,
Komfort-Freisprecheinrichtung Bluetooth, mit Sprachsteuerung,
Freisprechanlage Telefon mit Bluetooth,
Servolenkung,
Big,
Airbag Beifahrerseite abschaltbar,
Airbag Fahrer-/Beifahrerseite,
Knieairbag Fahrerseite,
Kopf-Airbag-System,
Seitenairbag vorn,
Rußpartikelfilter,
Klimaanlage Climatronic 2-Zonen,
Anti-Blockier-System (ABS),
Antriebsart: Allradantrieb,
Audiosystem Bolero (Radio/CD Bluetooth-/USB-Schnittstelle, MP3-fähig),
Maxi-DOT Display,
Multimediabuchse in Mittelkonsole,
Elektron. Differentialsperre (EDS),
Elektron. Stabilitäts-Programm (ESP),
Fensterheber elektrisch hinten,
Fensterheber elektrisch vorn",13843,13843,0,13843,,23:17:20,18:31,12/10/2023,17:48 13/10/2023,https://www.auto1.com/en/app/merchant/car/HZ48609,0,-13843,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=40&bw=1973&f1=2016&f2=None&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,2
limo,Audi,A1 1.6 TDI,2010,2010 - 2018,77,"1,598",199867,diesel,manual,4,Cloth,3,"Rear,
Vorrüstung Mobiltelefon/Handy mit Bluetooth-Schnittstelle,
Servolenkung,
Sport-Fahrwerk,
Sportsitze vorn,
Sportsitze vorn,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System (Sideguard),
Seitenairbag vorn,
Manual,
Rußpartikelfilter,
Radio CD,
Elektron. Differentialsperre (EDS),
Wegfahrsperre (elektronisch),
Elektron. Stabilitäts-Programm (ESP),
Anti-Blockier-System (ABS),
Fensterheber elektrisch vorn,
Fahrer-Informations-System (FIS)",4246,0,0,4246,,23:20:23,18:31,12/10/2023,17:51 13/10/2023,https://www.auto1.com/en/app/merchant/car/RM86404,5999,1753,"ABS brakes,
anti-theft alarm system,
central locking,
power steering,
third brake light,
traction control,
2x power windows,
parking aid (rear),
tinted windows,
cup holders,
down folding back rest,
down folding front passenger backrest,
interior mats (rubber),
leather steering wheel,
steering wheel adjustment,
textile upholstery,
car stereo,
speakers,
light alloy wheels,
summer tires,
winter tires (spike tires),
special light switch-dim-dip-light",1.6,hatchback,,https://eng.auto24.ee/vehicles/3904895,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=2&bw=2022&f1=2010&f2=2018&i[]=1&h[]=2&m[0]=3&d1=4&d2=4,2
limo,Peugeot,208 1.2 PureTech,2021,2019 - 2023,74,"1,199",62721,petrol,automatic,5,Part leather,5,"Siège chauffant AV,
aide au stationnement AR,
téléphonie mains libres Bluetooth,
Direction assistée électrique,
Système audio et navigation NAC 3-D, DAB+ avec Ecran couleur et Connect-Box,
Airbag conducteur et passager,
Airbag coté passager désactivable,
Airbag lat AR,
Airbag lat AV,
Système d'airbag crânien AR,
Climatisation automatique,
Système audio RCC (Radio/lecteur CD Compatible MP3),
prise USB,
Système d'antiblocage de frein (ABS),
Contrôle dynamique de stabilité (ESP),
Contrôle dynamique de stabilité (ESP, Bosch),
Lève-vitre élect. AV, droit avec Générateur d'impulsions,
Lève-vitre électrique AV droit,
Lève-vitre électrique AV gauche, séquentiel,
Lève-vitre électrique AV,
Ordinateur de bord",14448,14448,0,14448,,23:25:1,18:31,12/10/2023,17:56 13/10/2023,https://www.auto1.com/en/app/merchant/car/MH40381,0,-14448,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=16&bw=2148&f1=2019&f2=2023&i[]=2&h[]=1&m[0]=5&d1=5&d2=5&e[0]=60,2
combi,Skoda,Superb 2.0 TDI,2015,2015 - 2019,140,"1,968",239642,diesel,duplex,5,Part leather,5,"Anhängerkupplung mit Stabilitätskontrolle,
Bi-Xenon-Scheinwerfer mit Tagfahrlicht LED,
Zusatzheizung (Standheizung),
Sitzheizung vorn,
Sitzheizung hinten,
Sitze vorn elektr. verstellbar (links mit Memory),
Einparkhilfe vorn und hinten,
Rückfahrkamera,
Servolenkung,
Servolenkung elektronisch (Servotronic),
Freisprechanlage Telefon mit Bluetooth,
Freisprechanlage PREMIUM,
Audio-Navigationssystem Columbus DVD,
Airbag Beifahrerseite abschaltbar,
Airbag Fahrer-/Beifahrerseite,
Knieairbag Fahrerseite,
Kopf-Airbag-System,
Seitenairbag vorn,
Klimaanlage Climatronic 3-Zonen,
Rußpartikelfilter,
Wegfahrsperre,
Fahrassistenz-System: Autom. Distanzregelung (ACC) mit Frontradar-Assistent (bis 210 km/h),
Anti-Blockier-System (ABS),
Audiosystem Bolero (Radio/CD-Wechsler integriert),
Elektron. Querdifferentialsperre (XDS),
Elektron. Stabilitäts-Programm (ESP),
Fensterheber elektrisch vorn + hinten",11550,0,12148,12148,,23:24:19,18:31,12/10/2023,17:55 13/10/2023,https://www.auto1.com/en/app/merchant/car/GF91421,14800,2652,"8x airbag,
ABS brakes,
anti-theft alarm system (with tow-away protection, with interior motion sensor),
auto-hold brakes,
automatic braking system,
braking force regulator,
central locking,
collision avoidance system,
driver drowsiness detection system,
electric handbrake,
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation (on rear seat),
mountain brake,
power steering (speed-proportional),
rain sensor,
stability control,
third brake light,
traction control,
2x door curtains,
2x mirrors in sunshields (enlighted),
4x power windows,
automatic anti-dazzle mirrors (inner),
climate control,
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding, with memory),
electrical tailgate opening system (remote),
inside illuminated doors,
keyless entry,
keyless start,
parking aid (front, rear),
parking camera,
rear seat climate control,
spot lights,
tinted windows,
wireless charging,
2x electrically adjustable seats,
4x seat heating,
adjustable backrest shape (driver's seat, front passenger seat),
Comfort seats,
cup holders (in the front, in the back),
down folding back rest,
front armrest (with compartment),
half-leather padding,
interior mats (rubber),
leather interior,
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
rear armrest (with compartment),
steering wheel adjustment (height and depth),
Android Auto,
Apple CarPlay,
car stereo (with USB interface, with memory card interface, original),
hands free,
navigation system (with map),
onboard computer,
screen (in front),
speakers,
light alloy wheels (17),
tire pressure monitoring system,
winter tires (all season tires),
adaptive lights,
extra lights,
fog lights (front, rear),
headlight range adjustment,
headlight washers,
high-beam assistant,
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
2x 12v power outlet,
cargo attachment hooks,
cooling glove box,
electrically heated windshield,
luggage cover,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
start-stop system",1.6,touring,,https://eng.auto24.ee/vehicles/3924242,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=40&bw=176&f1=2015&f2=2019&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=60,2
limo,Renault,Clio 1.5 dCi,2008,2008 - None,63,"1,461",206715,diesel,manual,5,Cloth,5,"Servolenkung,
Airbag Beifahrerseite abschaltbar,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System (Windowbag),
Seitenairbag vorn,
Rußpartikelfilter,
Klimaautomatik,
Wegfahrsperre,
Anti-Blockier-System (ABS),
Fensterheber elektr. mit Impulsgeber links vorn,
Bordcomputer,
Audiosystem: Radio mit CD-Player (MP3-fähig)",1650,1296,0,1650,,22:57:57,18:31,12/10/2023,17:29 13/10/2023,https://www.auto1.com/en/app/merchant/car/XS30709,4699,3049,"ABS brakes,
active hood system,
airbag,
anti-theft alarm system (with tow-away protection),
braking force regulator,
central locking (with remote control),
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation,
power steering,
rain sensor,
side curtain airbags,
third brake light,
traction control,
air conditioner,
cruise control,
inside illuminated doors,
keyless entry,
keyless start,
mirrors in sunshields,
spot lights,
tinted windows,
adjustable seat height,
fine laths inside saloon,
interior mats (textile),
multifunctional steering wheel,
textile upholstery,
car stereo (CD, MP3, original),
speakers,
stereo amplifier,
light alloy wheels,
summer tires,
winter tires,
adaptive lights,
fog lights (front, rear),
headlight range adjustment,
headlight washers,
special light switch-dim-dip-light,
12v power outlet,
ASSYST,
cargo attachment hooks,
fire extinguisher,
luggage cover,
luggage net,
outside temperature display,
rear window cleaner,
rear window heating,
tire repair kit,
windshield washer defrost",1.5,hatchback,,https://eng.auto24.ee/vehicles/3891890,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=19&bw=187&f1=2008&f2=None&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,2
suv,Peugeot,3008 1.6 HDi,2010,2009 - 2013,80,"1,560",267600,diesel,manual,5,Cloth,5,"Dirección asistida electrohidráulico,
Airbag acompañante Desconectable,
Airbag conductor/acompañante,
Airbag lateral delante,
Sistema de airbag para la cabeza,
Sistema de airbag para la cabeza detrás,
Filtro partículas,
Climatizador automático, separado regulable conductor/acompañante,
Sistema de audio WIP Sound (Radio/Lector de CD apto para MP3),
Sistema antibloqueo (ABS),
Ordenador de a bordo,
Inmovilizador,
Elevalunas eléctric. con Protección de aplastamiento,
Elevalunas eléctric. delante, derecha con Transmisor de impulsos,
Elevalunas eléctric. detrás,
dinámico Control de estabilidad,
Programa electrónico de estabilidad (ESP, Bosch)",3045,0,0,3045,,22:47:57,18:31,12/10/2023,17:19 13/10/2023,https://www.auto1.com/en/app/merchant/car/XP63318,2699,-346,"ABS brakes,
airbag,
anti-theft alarm system (with tow-away protection, with interior motion sensor),
braking force regulator,
central locking (with remote control),
electric handbrake,
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation,
lane assist,
mountain brake,
power steering (speed-proportional),
rain sensor,
seatbelt pre-tighteners on front seats,
side curtain airbags,
stability control,
third brake light,
traction control,
climate control,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding),
head-up display,
inside illuminated doors,
interior extra heating,
mirrors in sunshields,
panorama glass roof,
parking aid (front, rear),
power windows,
spot lights,
sunroof (glass),
tinted windows,
adjustable seat height,
cargo mat,
cup holders (in the front, in the back),
down folding back rest,
drawers under front seats,
fine laths inside saloon,
front armrest (with compartment),
interior mats (textile, rubber),
leather interior,
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
racing seats,
racing steering wheel,
rear armrest,
seat heating,
steering wheel adjustment (height and depth),
car stereo (CD, MP3, with memory card interface, original),
CD changer,
hands free,
navigation system (with map, with voice recognition),
onboard computer,
screen (in front),
speakers,
stereo amplifier,
subwoofer,
light alloy wheels,
summer tires,
tire pressure monitoring system,
adaptive lights,
fog lights (front, rear),
headlight washers,
lighting pack,
special light switch-dim-dip-light,
Xenon headlight (low beam, high beam),
12v power outlet,
ASSYST,
cargo attachment hooks,
cooling glove box,
luggage cover,
luggage net,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
start-stop system,
windshield washer defrost",2.0,hatchback,,https://eng.auto24.ee/vehicles/3941636,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=16&bw=1966&f1=2009&f2=2013&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,2
limo,Audi,A6 3.0 V6 TDI clean diesel,2014,2014 - None,180,"2,967",305006,diesel,duplex,5,Leather,4,"proiettori xenon Plus (anabbaglianti e abbaglianti),
Front and Rear,
servosterzo elettromeccanico,
assetto sportivo S-line,
sedili sportivi ant.,
Big,
airbag lat. ant.,
airbag lato guida / lato passeggero,
sistema airbag testa (Sideguard),
filtro antiparticolato,
Automatic,
sistema antibloccaggio (ABS),
In navigation system,
alzacristalli elettr. ant. + post.,
tipo trazione: trazione integrale permanente,
blocco differenziale elettronico (EDS),
indicatore multifunzione / computer di bordo,
sistema informazione conducente (FIS) con display a colori,
immobilizzatore (elettronico),
Electronic Stability Program (ESP)",7200,0,0,7200,,22:40:19,18:31,12/10/2023,17:11 14/10/2023,https://www.auto1.com/en/app/merchant/car/LY38621,15200,8000,"ABS brakes,
airbag,
anti-theft alarm system,
auto-hold brakes,
central locking (with remote control),
electric handbrake,
front passenger airbag isolation,
ISOFIX child seat preparation,
power steering (speed-proportional),
rain sensor,
seatbelt pre-tighteners on front seats,
traction control,
4x power windows,
automatic anti-dazzle mirrors,
climate control,
Coming-/Leaving-Home system,
cruise control,
door curtains,
electrically adjustable mirrors (heated mirrors, folding),
electrical tailgate opening system (foot-activated, remote),
inside illuminated doors,
keyless entry,
keyless start,
mirrors in sunshields,
parking aid (front, rear),
rear window blind (electric),
spot lights,
2x electrically adjustable seats,
2x seat heating,
adjustable backrest shape,
cargo mat,
cup holders,
drawers under front seats,
fine laths inside saloon,
front armrest,
interior mats,
leather interior,
leather shift lever,
multifunctional steering wheel,
pockets on backside of the front seats,
rear armrest,
steering wheel adjustment,
car phone,
car stereo,
hands free,
navigation system,
screen,
speakers,
subwoofer,
spare wheel,
summer tires,
tire pressure monitoring system,
winter tires (spike tires),
comes with the carwinter tires (spike tires),
winter tires (spike tires),
fog lights,
headlight range adjustment,
headlight washers,
lighting pack,
special light switch-dim-dip-light,
12v power outlet,
cooling glove box,
outside temperature display,
start-stop system,
Hammasrihm ja veepump vahetatud 1000km tagasi.",2.0,sedan,,https://eng.auto24.ee/vehicles/3886519,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=2&bw=89&f1=2014&f2=None&i[]=2&h[]=2&m[0]=4&d1=5&d2=5&e[0]=59,2
limo,Volkswagen,Polo 1.2,2007,2006 - 2009,44,"1,198",121358,petrol,manual,5,Cloth,3,Klimaanlage,1120,0,1301,1301,,22:57:46,18:31,12/10/2023,17:29 13/10/2023,https://www.auto1.com/en/app/merchant/car/DL07459,0,-1301,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=8&bw=40&f1=2006&f2=2009&i[]=1&h[]=1&m[0]=3&d1=5&d2=5,2
suv,Jeep,Cherokee 2.5 CRD,2002,2001 - 2005,105,"2,499",212504,diesel,manual,5,Cloth,5,"servosterzo,
airbag lat.,
airbag lato guida / lato passeggero,
climatizzatore,
alzacristalli elettr. ant. + post.,
immobilizzatore,
sistema antibloccaggio (ABS),
tipo trazione: Command-Trac (4 WD),
Radio Cassette",1694,0,0,1694,,23:25:50,18:31,12/10/2023,17:57 13/10/2023,https://www.auto1.com/en/app/merchant/car/KH66534,4200,2506,"ABS brakes,
airbag,
central locking (with remote control),
power steering,
third brake light,
4x power windows,
electrically adjustable mirrors (heated mirrors),
tinted windows,
cup holders (in the front),
down folding back rest,
front armrest (with compartment),
interior mats (rubber),
steering wheel adjustment,
textile upholstery,
car stereo (CD),
winter tires (all season tires),
extra lights,
fog lights (front, rear),
headlight range adjustment,
rear window cleaner,
roof railings,
tow hitch,
Autole on paigaldatud tõste 2,5"".  Rehvid 245/75R16 Toyo lamell.
Viimane hooldus 11.2022 LS: 266591km (kõik filtrid, sillaõlid, käigukasti ja vahekastiõli, Micro-V rihm + pinguti).
Hooldustel tehtud alati rohkem, kui vajalik ja tegemist regulaarselt hooldatud sõidukiga!",2.5,touring,,https://eng.auto24.ee/vehicles/3860014,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=32&bw=103&f1=2001&f2=2005&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,2
limo,Toyota,Corolla 1.6,2006,2002 - 2008,81,"1,598",160639,petrol,manual,5,Cloth,5,"Sitzheizung,
Servolenkung,
Seitenairbag,
Klimaautomatik,
Audiosystem: Radio mit CD-Player,
Fensterheber elektrisch vorn + hinten,
Anti-Blockier-System (ABS)",2738,0,0,2738,25490.78,22:50:21,18:31,12/10/2023,17:21 13/10/2023,https://www.auto1.com/en/app/merchant/car/UE47701,1199,-1539,"ABS brakes,
airbag,
braking force regulator,
central locking,
immobilizer,
power steering,
seatbelt pre-tighteners on front seats,
stability control,
traction control,
electrically adjustable mirrors,
power windows,
adjustable seat height,
fine laths inside saloon,
front armrest,
interior mats,
steering wheel adjustment,
textile upholstery,
car stereo,
onboard computer,
speakers,
dust shields,
headlight range adjustment,
12v power outlet,
rear window cleaner,
rear window heating,
tow hitch",1.4,touring,,https://eng.auto24.ee/vehicles/3900611,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=13&bw=54&f1=2002&f2=2008&i[]=1&h[]=1&m[0]=5&d1=5&d2=5,2
suv,Mercedes-Benz,GLC-Klasse GLC 250 d,2018,2018 - None,150,"2,143",165897,diesel,automatic,5,Leather,5,"Front and Rear,
predisposizione telefono cellulare mobile / telefonia comfort / Funzione LTE,
sterzo diretto con supporto sforzo sterzo variabile,
assetto sportivo,
airbag addominale ant. (Pelvisbag),
airbag ginocchia lato guida,
airbag lat. (Sidebag) ant.,
airbag lato guida / lato passeggero,
airbag lato passeggero disinseribile,
sistema airbag testa (Windowbag),
Big,
Automatic,
filtro antiparticolato,
tipo trazione: trazione integrale,
In navigation system,
Tempomat con regolazione distanza / Distronic Plus con Funzione-Stop&Go,
tetto apribile panorama,
alzacristalli elettr. ant. + post.,
Electronic Stability Program (ESP),
immobilizzatore,
sistema antibloccaggio (ABS)",18079,0,0,18079,,22:30:41,18:31,12/10/2023,17:02 13/10/2023,https://www.auto1.com/en/app/merchant/car/PE30667,35000,16921,"ABS brakes,
airbag,
anti-theft alarm system,
Blind Spot Detection,
braking force regulator,
central locking (with remote control),
collision avoidance system,
driver drowsiness detection system,
electric handbrake,
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation,
lane assist,
lane change assist,
power steering (speed-proportional),
rain sensor,
seatbelt pre-tighteners on front seats,
side curtain airbags,
stability control,
third brake light,
traction control,
2x mirrors in sunshields (enlighted),
4x power windows,
automatic anti-dazzle mirrors (inner, outer),
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding),
electrical tailgate opening system (remote),
parking aid (front),
parking camera (360),
spot lights,
tinted windows,
2x electrically adjustable seats,
2x seat heating,
adjustable seat height (driver's seat, front passenger seat),
cup holders (in the front, in the back),
down folding back rest,
fine laths inside saloon,
front armrest (with compartment),
gear change from steering wheel,
interior mats (textile, rubber),
leather interior,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
racing steering wheel,
rear armrest (with compartment),
steering wheel adjustment (height and depth),
Apple CarPlay/Android Auto,
car stereo (CD, MP3, with USB interface, with memory card interface, original),
hands free,
navigation system,
onboard computer,
screen (in front),
light alloy wheels (19"", originaal),
summer tires,
tire pressure monitoring system,
winter tires (spike tires),
comes with the carsummer tireswinter tires (spike tires)alloy wheels,
summer tires,
winter tires (spike tires),
alloy wheels,
adaptive lights,
fog lights (front, rear, cornering light function),
headlight range adjustment,
high-beam assistant,
LED (daytime running lights, rear lights, low beam, high beam),
special light switch-dim-dip-light,
12v power outlet,
cargo attachment hooks,
luggage cover,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
start-stop system,
tire repair kit,
tow hitch (electrical),
windshield washer defrost,
Kõik lisad ,mida vajad või ei vaja.Auto manuaal+CD ,annab täieliku ülevaate auto võimekustest ja oskusdest",2.1,touring,,https://eng.auto24.ee/vehicles/3676445,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=12&bw=2421&f1=2018&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,2
suv,Renault,Koleos 2.0 dCi,2014,2014 - None,127,"1,995",145071,diesel,automatic,5,Leather,5,"riscaldamento sedili ant.,
sedile ant. sx a regolazione elettrica,
tetto apribile scorrevole elettr. (vetro),
aiuto parcheggio ant. e post.,
retrocamera,
viva voce Bluetooth,
servosterzo,
airbag lat. ant.,
airbag lat.,
airbag lato guida / lato passeggero,
airbag lato passeggero disinseribile,
sistema airbag testa lat.,
sistema audio-navigazione Carminat 3 (con display a colori),
filtro antiparticolato,
climatizzatore automatico, lato guida / lato passeggero regolab. separat.,
sistema antibloccaggio (ABS),
Sistema audio: radio con lettore CD (lettore MP3, Bluetooth),
computer di bordo,
alzacristalli elettr. ant. + post.,
Electronic Stability Program (ESP),
immobilizzatore,
tipo trazione: trazione integrale permanente",5421,5421,5711,5711,,23:19:4,18:31,12/10/2023,17:50 13/10/2023,https://www.auto1.com/en/app/merchant/car/NE29193,21500,15789,"ABS brakes,
active hood system,
airbag,
auto-hold brakes,
automatic braking system,
Blind Spot Detection,
braking force regulator,
central locking,
collision avoidance system,
electric handbrake,
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation (on rear seat),
lane assist,
lane change assist,
power steering,
rain sensor,
side curtain airbags,
stability control,
third brake light,
traction control,
traffic sign assist,
automatic anti-dazzle mirrors,
automatic parking function,
climate control,
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding, with memory),
electrical tailgate opening system (foot-activated, remote),
inside illuminated doors,
keyless entry,
keyless start,
mirrors in sunshields (enlighted),
parking aid (front, rear),
parking camera,
power windows,
spot lights,
tinted windows,
virtual cockpit,
adjustable seat height,
cargo mat,
cup holders (in the front, in the back),
down folding back rest,
electrically adjustable seats,
fine laths inside saloon (wood inlay),
front armrest (with compartment),
interior mats (textile),
leather interior,
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
racing steering wheel,
rear armrest,
seat heating,
steering wheel adjustment (height and depth),
Android Auto,
Apple CarPlay,
car phone,
car stereo (MP3, with USB interface, original),
GSM antenna,
hands free,
navigation system (with map, with voice recognition),
onboard computer,
screen (in front),
speakers,
stereo amplifier,
subwoofer,
light alloy wheels (19),
summer tires,
adaptive lights,
fog lights (front),
high-beam assistant,
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
12v power outlet,
outside temperature display,
rear window cleaner,
rear window heating,
start-stop system,
tow hitch (removable)",2.0,touring,,https://eng.auto24.ee/vehicles/3904156,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=19&bw=1377&f1=2014&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,2
suv,BMW,X3 xDrive 20d,2015,2015 - None,140,"1,995",223035,diesel,automatic,5,Leather,5,"proiettori Bi-Xenon,
Front and Rear,
servosterzo Servotronic,
viva voce Bluetooth con interfaccia audio USB,
sedili sportivi ant.,
airbag lat. ant.,
airbag lato guida / lato passeggero,
sistema airbag testa ant.,
sistema airbag testa post.,
Automatic,
filtro antiparticolato,
tipo trazione: trazione integrale permanente,
tipo trazione: xDrive (4 WD),
Radio CD,
alzacristalli elettr. ant. + post.,
computer di bordo,
dinamica controllo stabilità (DSC),
immobilizzatore,
sistema antibloccaggio (ABS)",10199,0,0,10199,,23:8:10,18:31,12/10/2023,17:39 13/10/2023,https://www.auto1.com/en/app/merchant/car/UW64003,16990,6791,"ABS brakes,
airbag,
anti-theft alarm system (with tow-away protection, with interior motion sensor),
central locking (with remote control),
electric handbrake,
ISOFIX child seat preparation (on front seat, on rear seat),
power steering,
rain sensor,
side curtain airbags,
stability control,
third brake light,
traction control,
4x power windows,
climate control,
cruise control,
electrical tailgate opening system (remote),
inside illuminated doors,
keyless start,
panorama glass roof,
parking aid (front, rear),
rear window blind,
spot lights,
sunroof (glass, electric),
tinted windows,
virtual cockpit,
2x electrically adjustable seats,
adjustable backrest shape (driver's seat, front passenger seat),
adjustable seat height (driver's seat, front passenger seat),
Comfort seats,
cup holders (in the front, in the back),
down folding back rest,
down folding front passenger backrest,
front armrest (with compartment),
interior mats (textile, rubber),
leather interior,
leather steering wheel,
multifunctional steering wheel,
racing seats,
racing steering wheel,
rear armrest,
steering wheel adjustment (height and depth),
car phone,
car stereo (CD, MP3, with USB interface, original),
hands free,
navigation system (with map, with voice recognition),
onboard computer,
screen (in front),
speakers,
light alloy wheels (18),
tire pressure monitoring system,
winter tires (all season tires),
fog lights (front),
headlight range adjustment,
LED (daytime running lights, low beam),
special light switch-dim-dip-light,
3x 12v power outlet,
ASSYST,
cargo attachment hooks,
fire extinguisher,
luggage cover,
luggage net,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
start-stop system,
tire repair kit,
tow hitch (removable)",2.0,touring,,https://eng.auto24.ee/vehicles/3916479,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=4&bw=809&f1=2015&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,2
